time,n,rpl_dio_mean,rpl_dio_std,rpl_dis_mean,rpl_dis_std,rpl_dao_mean,rpl_dao_std,rpl_total_mean,rpl_total_std,adhoc_tx_mean,adhoc_tx_std,adhoc_rx_mean,adhoc_rx_std,conv_count_mean,conv_count_std,first_conv_mean,first_conv_std,last_conv_mean,last_conv_std,avg_conv_mean,avg_conv_std,avg_va_mean,avg_va_std,max_va_mean,max_va_std,perfect_pct_mean,perfect_pct_std,avg_eta_sc_mean,avg_eta_sc_std,min_eta_sc_mean,min_eta_sc_std,max_eta_sc_mean,max_eta_sc_std,udp_pdr_mean,udp_pdr_std,udp_latency_mean,udp_latency_std,udp_buf_drop_mean,udp_buf_drop_std
300.0,5,201.2,9.311283477587823,110.8,12.417729261020309,74.0,26.56124997058685,386.0,46.238512086787566,727.2,0.4472135954999579,1276.4,113.0168129085226,0.2,0.4472135954999579,212.45,0.0,212.45,0.0,212.45,0.0,14.05,1.2178875153313622,25.0,0.0,8.44,1.6440802900101925,59.5,1.1313708498984745,19.3,21.908902300206645,88.67999999999999,6.497076265521285,30.327999999999996,6.399149943547188,1161.786,88.35710712783666,186.6,17.155174146594955
600.0,5,425.6,28.579713084634,165.6,24.14125100321025,141.8,49.76143084759521,733.0,41.6293165929973,1468.0,4.47213595499958,2788.6,232.09653164147025,0.2,0.4472135954999579,212.45,0.0,212.45,0.0,212.45,0.0,20.668,0.29448259710889413,49.6,0.5477225575051661,13.440000000000001,0.4979959839195488,62.339999999999996,0.6767569726275449,43.3,0.0,94.67999999999999,6.520122698231991,40.012,2.6522669548897206,1310.442,23.021767308354068,287.6,41.51867049894541
900.0,5,556.2,20.825465180878915,190.0,39.97499218261337,167.8,56.922754676842544,914.0,73.824115301167,2207.0,1.7320508075688772,5042.2,577.9642722521869,0.2,0.4472135954999579,212.45,0.0,212.45,0.0,212.45,0.0,27.238,0.3293478404362171,73.4,0.5477225575051661,19.5,5.118105118107678,63.2,1.1510864433221337,43.3,0.0,94.67999999999999,6.520122698231991,46.05,2.627793751419619,1278.7440000000001,92.83935200118533,312.0,31.81980515339464
1200.0,4,623.75,1.5,207.75,44.5,173.5,63.0,1005.0,106.0,2944.25,4.5,7555.75,595.5,0.0,0.0,,,,,,,34.43,0.8199999999999967,97.25,0.5,21.825,2.950000000000001,64.44999999999999,1.2999999999999972,43.3,0.0,93.35,6.700000000000003,48.2325,1.4849999999999994,1187.1525000000001,72.005,332.75,17.5
1200.1,1,600.0,0.0,154.0,0.0,191.0,0.0,945.0,0.0,2952.0,0.0,8855.0,0.0,1.0,0.0,212.45,0.0,212.45,0.0,212.45,0.0,36.0,0.0,99.0,0.0,34.2,0.0,61.5,0.0,43.3,0.0,100.0,0.0,47.46,0.0,1237.87,0.0,279.0,0.0
1500.0,4,660.75,8.5,212.25,47.5,176.75,60.5,1049.75,116.5,3678.75,3.5,10562.0,662.0,0.0,0.0,,,,,,,41.975,1.5499999999999972,121.25,0.5,22.5,4.200000000000001,64.44999999999999,1.2999999999999972,43.3,0.0,93.35,6.700000000000003,48.94,0.4200000000000017,1165.01,54.360000000000014,337.5,15.0
1500.1,1,616.0,0.0,159.0,0.0,194.0,0.0,969.0,0.0,3689.0,0.0,11754.0,0.0,3.0,0.0,212.45,0.0,1478.46,0.0,1056.46,0.0,44.57,0.0,123.0,0.0,28.9,0.0,61.9,0.0,43.3,0.0,100.0,0.0,48.06,0.0,1171.93,0.0,301.0,0.0
1800.0,4,671.5,9.0,213.25,45.5,187.0,62.0,1071.75,116.5,4413.75,3.5,13629.0,740.0,0.0,0.0,,,,,,,50.7,1.7199999999999989,145.25,0.5,22.224999999999998,4.65,64.44999999999999,1.2999999999999972,43.3,0.0,93.35,6.700000000000003,49.4225,0.03500000000000014,1141.915,43.129999999999995,340.25,18.5
1800.1,1,658.0,0.0,160.0,0.0,215.0,0.0,1033.0,0.0,4428.0,0.0,14456.0,0.0,3.0,0.0,212.45,0.0,1478.46,0.0,1056.46,0.0,53.73,0.0,146.0,0.0,25.3,0.0,61.9,0.0,43.3,0.0,100.0,0.0,48.32,0.0,1116.86,0.0,333.0,0.0
2100.0,1,665.0,0.0,145.0,0.0,102.0,0.0,912.0,0.0,5154.0,0.0,17981.0,0.0,0.0,0.0,,,,,,,62.1,0.0,169.0,0.0,23.2,0.0,62.5,0.0,43.3,0.0,83.3,0.0,48.74,0.0,1175.61,0.0,368.0,0.0
